index,client_iso_time,server_time_ms,q0,q1,q2,q3,roll_deg,pitch_deg,yaw_deg,latency_es_ms,latency_sc_ms,latency_total_ms
1,2026-04-07T10:49:46.556Z,1775558986916,0.998253,-0.005504,-0.009438,0.000042,-0.6298,-1.0797,0.0108,0,-360,-360
2,2026-04-07T10:49:46.559Z,1775558986916,0.998245,-0.005745,-0.010056,0.000057,-0.6574,-1.1504,0.0131,0,-357,-357
3,2026-04-07T10:49:46.561Z,1775558986916,0.998241,-0.005873,-0.010402,0.000066,-0.6721,-1.1899,0.0146,0,-355,-355
4,2026-04-07T10:49:46.563Z,1775558986916,0.998237,-0.006083,-0.010670,0.000076,-0.6961,-1.2206,0.0161,0,-353,-353
5,2026-04-07T10:49:46.564Z,1775558986917,0.998235,-0.006204,-0.010746,0.000087,-0.7100,-1.2293,0.0176,0,-353,-353
6,2026-04-07T10:49:46.566Z,1775558986917,0.998233,-0.006348,-0.010889,0.000093,-0.7264,-1.2456,0.0186,0,-351,-351
7,2026-04-07T10:49:46.568Z,1775558986917,0.998232,-0.006338,-0.010988,0.000096,-0.7253,-1.2569,0.0190,0,-349,-349
8,2026-04-07T10:49:46.570Z,1775558986917,0.998233,-0.006323,-0.010869,0.000093,-0.7236,-1.2433,0.0185,0,-347,-347
9,2026-04-07T10:49:46.589Z,1775558986949,0.998233,-0.006270,-0.010911,0.000095,-0.7175,-1.2481,0.0187,0,-360,-360
10,2026-04-07T10:49:46.757Z,1775558987118,0.998241,-0.005991,-0.010343,0.000086,-0.6856,-1.1832,0.0169,30,-361,-331
11,2026-04-07T10:49:46.759Z,1775558987118,0.998243,-0.005977,-0.010142,0.000076,-0.6840,-1.1602,0.0156,30,-359,-329
12,2026-04-07T10:49:46.763Z,1775558987118,0.998246,-0.006021,-0.009858,-0.000184,-0.6887,-1.1279,-0.0142,30,-355,-325
13,2026-04-07T10:49:46.795Z,1775558987155,0.998246,-0.005853,-0.009902,-0.000296,-0.6693,-1.1330,-0.0272,30,-360,-330
14,2026-04-07T10:49:46.866Z,1775558987225,0.998246,-0.005843,-0.009949,-0.000398,-0.6681,-1.1384,-0.0389,30,-359,-329
15,2026-04-07T10:49:46.897Z,1775558987258,0.998246,-0.005774,-0.009964,-0.000506,-0.6601,-1.1402,-0.0513,30,-361,-331
16,2026-04-07T10:49:46.968Z,1775558987328,0.998244,-0.005942,-0.010102,-0.000619,-0.6791,-1.1561,-0.0639,30,-360,-330
17,2026-04-07T10:49:47.001Z,1775558987361,0.998242,-0.005925,-0.010192,-0.000726,-0.6771,-1.1664,-0.0761,30,-360,-330
18,2026-04-07T10:49:47.038Z,1775558987398,0.998241,-0.005963,-0.010282,-0.000835,-0.6813,-1.1768,-0.0885,30,-360,-330
19,2026-04-07T10:49:47.110Z,1775558987471,0.998241,-0.005983,-0.010333,-0.000923,-0.6835,-1.1827,-0.0985,30,-361,-331
20,2026-04-07T10:49:47.146Z,1775558987506,0.998240,-0.006038,-0.010386,-0.001024,-0.6896,-1.1888,-0.1100,30,-360,-330
21,2026-04-07T10:49:47.230Z,1775558987589,0.998239,-0.005913,-0.010458,-0.001131,-0.6752,-1.1971,-0.1223,30,-359,-329
22,2026-04-07T10:49:47.271Z,1775558987628,0.998239,-0.005892,-0.010560,-0.001224,-0.6727,-1.2089,-0.1329,30,-357,-327
23,2026-04-07T10:49:47.302Z,1775558987661,0.998239,-0.006021,-0.010428,-0.001334,-0.6873,-1.1939,-0.1454,30,-359,-329
24,2026-04-07T10:49:47.338Z,1775558987698,0.998238,-0.006101,-0.010408,-0.001439,-0.6963,-1.1917,-0.1574,30,-360,-330
25,2026-04-07T10:49:47.418Z,1775558987778,0.998238,-0.006033,-0.010461,-0.001529,-0.6884,-1.1978,-0.1677,30,-360,-330
26,2026-04-07T10:49:47.463Z,1775558987820,0.998239,-0.005985,-0.010414,-0.001628,-0.6828,-1.1925,-0.1791,30,-357,-327
27,2026-04-07T10:49:47.491Z,1775558987852,0.998241,-0.005887,-0.010248,-0.001716,-0.6716,-1.1735,-0.1894,30,-361,-331
28,2026-04-07T10:49:47.568Z,1775558987927,0.998240,-0.005906,-0.010272,-0.001795,-0.6736,-1.1763,-0.1984,30,-359,-329
29,2026-04-07T10:49:47.605Z,1775558987963,0.998241,-0.005914,-0.010194,-0.001884,-0.6745,-1.1674,-0.2086,30,-358,-328
30,2026-04-07T10:49:47.693Z,1775558988053,0.998240,-0.005950,-0.010280,-0.001958,-0.6785,-1.1773,-0.2170,30,-360,-330
31,2026-04-07T10:49:47.782Z,1775558988142,0.998240,-0.005903,-0.010283,-0.002051,-0.6730,-1.1777,-0.2277,30,-360,-330
32,2026-04-07T10:49:47.784Z,1775558988142,0.998240,-0.005772,-0.010285,-0.002151,-0.6579,-1.1780,-0.2393,30,-358,-328
33,2026-04-07T10:49:47.812Z,1775558988172,0.998240,-0.005587,-0.010455,-0.002210,-0.6366,-1.1974,-0.2462,30,-360,-330
34,2026-04-07T10:49:47.841Z,1775558988200,0.998240,-0.005672,-0.010399,-0.002294,-0.6462,-1.1911,-0.2557,30,-359,-329
35,2026-04-07T10:49:47.909Z,1775558988269,0.998240,-0.005738,-0.010324,-0.002366,-0.6537,-1.1826,-0.2639,30,-360,-330
36,2026-04-07T10:49:47.946Z,1775558988306,0.998241,-0.005671,-0.010211,-0.002453,-0.6460,-1.1697,-0.2740,30,-360,-330
37,2026-04-07T10:49:48.024Z,1775558988385,0.998239,-0.005759,-0.010381,-0.002520,-0.6559,-1.1892,-0.2815,30,-361,-331
38,2026-04-07T10:49:48.056Z,1775558988416,0.998239,-0.005778,-0.010332,-0.002589,-0.6580,-1.1837,-0.2894,30,-360,-330
39,2026-04-07T10:49:48.090Z,1775558988450,0.998238,-0.005877,-0.010300,-0.002649,-0.6693,-1.1801,-0.2961,30,-360,-330
40,2026-04-07T10:49:48.162Z,1775558988521,0.998239,-0.005947,-0.010151,-0.002715,-0.6773,-1.1631,-0.3037,30,-359,-329
41,2026-04-07T10:49:48.189Z,1775558988550,0.998239,-0.005900,-0.010185,-0.002755,-0.6718,-1.1670,-0.3083,30,-361,-331
42,2026-04-07T10:49:48.259Z,1775558988619,0.998238,-0.005960,-0.010233,-0.002828,-0.6786,-1.1726,-0.3166,30,-360,-330
43,2026-04-07T10:49:48.296Z,1775558988654,0.998236,-0.005934,-0.010447,-0.002881,-0.6755,-1.1971,-0.3225,30,-358,-328
44,2026-04-07T10:49:48.369Z,1775558988726,0.998236,-0.005822,-0.010459,-0.002933,-0.6626,-1.1984,-0.3286,30,-357,-327
45,2026-04-07T10:49:48.399Z,1775558988758,0.998237,-0.005913,-0.010364,-0.002994,-0.6730,-1.1876,-0.3355,30,-359,-329
46,2026-04-07T10:49:48.462Z,1775558988822,0.998237,-0.005829,-0.010336,-0.003049,-0.6633,-1.1845,-0.3419,30,-360,-330
47,2026-04-07T10:49:48.490Z,1775558988851,0.998236,-0.005793,-0.010439,-0.003112,-0.6591,-1.1963,-0.3491,30,-361,-331
48,2026-04-07T10:49:48.568Z,1775558988927,0.998238,-0.005751,-0.010296,-0.003176,-0.6543,-1.1799,-0.3566,30,-359,-329
49,2026-04-07T10:49:48.619Z,1775558988978,0.998239,-0.005732,-0.010206,-0.003242,-0.6520,-1.1697,-0.3642,30,-359,-329
50,2026-04-07T10:49:48.647Z,1775558989006,0.998237,-0.005765,-0.010277,-0.003289,-0.6557,-1.1778,-0.3695,30,-359,-329
51,2026-04-07T10:49:48.710Z,1775558989070,0.998235,-0.005824,-0.010420,-0.003348,-0.6624,-1.1943,-0.3761,30,-360,-330
52,2026-04-07T10:49:48.741Z,1775558989101,0.998235,-0.005742,-0.010480,-0.003396,-0.6529,-1.2011,-0.3817,30,-360,-330
53,2026-04-07T10:49:48.810Z,1775558989169,0.998236,-0.005659,-0.010386,-0.003456,-0.6434,-1.1904,-0.3887,30,-359,-329
54,2026-04-07T10:49:48.836Z,1775558989196,0.998235,-0.005801,-0.010384,-0.003502,-0.6596,-1.1902,-0.3938,30,-360,-330
55,2026-04-07T10:49:48.909Z,1775558989268,0.998233,-0.005911,-0.010486,-0.003551,-0.6721,-1.2020,-0.3992,30,-359,-329
56,2026-04-07T10:49:48.933Z,1775558989293,0.998234,-0.005884,-0.010438,-0.003587,-0.6689,-1.1965,-0.4034,30,-360,-330
57,2026-04-07T10:49:49.012Z,1775558989373,0.998234,-0.005892,-0.010382,-0.003621,-0.6698,-1.1901,-0.4073,30,-361,-331
58,2026-04-07T10:49:49.050Z,1775558989410,0.998234,-0.005973,-0.010340,-0.003648,-0.6791,-1.1854,-0.4103,30,-360,-330
59,2026-04-07T10:49:49.168Z,1775558989470,0.998233,-0.006013,-0.010388,-0.003675,-0.6836,-1.1909,-0.4133,30,-302,-272
60,2026-04-07T10:49:49.424Z,1775558989784,0.998235,-0.006156,-0.010169,-0.003703,-0.7000,-1.1659,-0.4165,30,-360,-330
61,2026-04-07T10:49:49.427Z,1775558989784,0.998236,-0.005955,-0.010176,-0.003746,-0.6770,-1.1667,-0.4217,30,-357,-327
62,2026-04-07T10:49:49.429Z,1775558989784,0.998235,-0.005889,-0.010245,-0.003782,-0.6694,-1.1746,-0.4258,30,-355,-325
63,2026-04-07T10:49:49.431Z,1775558989785,0.998235,-0.005882,-0.010302,-0.003818,-0.6685,-1.1811,-0.4299,30,-354,-324
64,2026-04-07T10:49:49.433Z,1775558989785,0.998235,-0.005888,-0.010249,-0.003828,-0.6692,-1.1750,-0.4311,30,-352,-322
65,2026-04-07T10:49:49.435Z,1775558989785,0.998237,-0.005785,-0.010141,-0.003858,-0.6574,-1.1627,-0.4347,30,-350,-320
66,2026-04-07T10:49:49.460Z,1775558989818,0.998236,-0.005765,-0.010199,-0.003897,-0.6551,-1.1693,-0.4391,30,-358,-328
67,2026-04-07T10:49:49.486Z,1775558989846,0.998236,-0.005832,-0.010176,-0.003912,-0.6627,-1.1667,-0.4408,30,-360,-330
68,2026-04-07T10:49:49.567Z,1775558989926,0.998235,-0.005862,-0.010208,-0.003927,-0.6661,-1.1704,-0.4424,30,-359,-329
69,2026-04-07T10:49:49.601Z,1775558989961,0.998235,-0.005955,-0.010144,-0.003968,-0.6767,-1.1632,-0.4471,30,-360,-330
70,2026-04-07T10:49:49.657Z,1775558990017,0.998235,-0.005943,-0.010150,-0.004008,-0.6753,-1.1639,-0.4517,30,-360,-330
71,2026-04-07T10:49:49.693Z,1775558990053,0.998234,-0.005966,-0.010229,-0.004035,-0.6779,-1.1729,-0.4547,30,-360,-330
72,2026-04-07T10:49:49.763Z,1775558990121,0.998234,-0.005939,-0.010240,-0.004059,-0.6748,-1.1742,-0.4574,30,-358,-328
73,2026-04-07T10:49:49.795Z,1775558990156,0.998234,-0.005920,-0.010274,-0.004086,-0.6725,-1.1781,-0.4605,30,-361,-331
74,2026-04-07T10:49:49.866Z,1775558990226,0.998232,-0.006035,-0.010353,-0.004104,-0.6856,-1.1872,-0.4624,30,-360,-330
75,2026-04-07T10:49:49.897Z,1775558990257,0.998234,-0.005970,-0.010195,-0.004141,-0.6782,-1.1691,-0.4668,30,-360,-330
76,2026-04-07T10:49:49.971Z,1775558990331,0.998234,-0.005920,-0.010210,-0.004142,-0.6725,-1.1708,-0.4670,30,-360,-330
77,2026-04-07T10:49:49.998Z,1775558990357,0.998233,-0.005875,-0.010346,-0.004148,-0.6673,-1.1863,-0.4676,30,-359,-329
78,2026-04-07T10:49:50.066Z,1775558990425,0.998234,-0.005972,-0.010143,-0.004171,-0.6784,-1.1632,-0.4703,30,-359,-329
79,2026-04-07T10:49:50.095Z,1775558990454,0.998233,-0.006080,-0.010232,-0.004202,-0.6907,-1.1734,-0.4736,30,-359,-329
80,2026-04-07T10:49:50.135Z,1775558990496,0.998231,-0.006140,-0.010309,-0.004228,-0.6975,-1.1823,-0.4765,30,-361,-331
81,2026-04-07T10:49:50.211Z,1775558990571,0.998230,-0.006215,-0.010332,-0.004261,-0.7061,-1.1850,-0.4802,30,-360,-330
82,2026-04-07T10:49:50.240Z,1775558990600,0.998229,-0.006245,-0.010445,-0.004272,-0.7094,-1.1979,-0.4813,30,-360,-330
83,2026-04-07T10:49:50.321Z,1775558990681,0.998229,-0.006205,-0.010455,-0.004285,-0.7048,-1.1991,-0.4828,30,-360,-330
